No.,Topic,Description,Source
55,Rec,"Active model: only the ‘active aspect’ of recursion understood, not return values.",Götschi et al. (2003)
56,Rec,"Step model: single- or two-step recursion, but no more.",Götschi et al. (2003)
57,Rec,"Return value model: each instantiation first produces a value, before the next one is started; then all values are combined to get the result",Götschi et al. (2003)
58,Rec,"Passive model: active part not understood, only the combinatorics of the return values.",Sanders et al. (2006)
59,Rec,Recursion is merely a programming construct used as a template in certain kinds of programs; runtime behavior is ‘magic’.,Booth (1992); Kahney (1983); Götschi et al. (2003)
60,Rec,Recursion is perceived as an algebra problem.,Götschi et al. (2003)
61,Rec,"Looping model of recursion (single-instantiation); recursion is merely a construct for producing repetition, not understood as self-reference.",Kahney (1983); Bhuiyan et al. (1990); Götschi et al. (2003); Booth (1992)
62,Refs,Even primitive values (in Java) are handled through references.,Sorva (2008)
63,Refs,The variables for storing and assigning primitive values are fundamentally different from the variables used for storing objects (in Java).,Sorva (2008)
64,Refs,A variable associated with an object is merely a name which can be used to manipulate an object or ’thing’ in a program.,Sorva (2008); Ma (2007)
65,Refs,A (non-primitive Java) variable does not hold a reference but a set of object properties.,Sorva (2008); Ma (2007)
66,Refs,Assigning an object means ‘sending’ an object (or a copy) to a variable.,Ma (2007)
67,Refs,Assigning to an object causes it to become equal to the assigned object.,Ma (2007)
68,Refs,Assigning to an object means that (some) instance variables get new values from the assigned object.,Ma (2007)
69,Refs,"Confusion between an instance variable such as ""name"" and a variable referring to the object.",Holland et al. (1997)
70,Refs,"Two objects with the same value for a ""name"" attribute are the same object.",Holland et al. (1997)
71,Refs,"A value of an instance variable such as ""name"" replaces reference as a value of an attribute.",Sajaniemi et al. (2008); Ragonis and Ben-Ari (2005a)
72,Refs,"An object is represented (in program state) by only the value of a particular identifying instance variable such as ""name"".",Sajaniemi et al. (2008)
73,Refs,A variable that refers to an object uniquely specifies the object for all time.,Holland et al. (1997)
74,Refs,"Once a variable references an object, it will always reference that object.",Holland et al. (1997)
75,Refs,Two different variables must refer to two different objects.,Holland et al. (1997)
76,Refs,Two objects of the same class with the same state are the same object.,Holland et al. (1997)
77,Refs,Two objects can have the same identifier if there is any difference in the values of their attributes.,Ragonis and Ben-Ari (2005a)
78,Refs,"Objects know what refers to them. References point in opposite direction (to referring object attribute, not from there).",Holland et al. (1997); Sajaniemi et al. (2008)
79,ObjClass,Confusion between a class and its instance.,Holland et al. (1997)
80,ObjClass,An object is a subset of a class. / A class is a collection of objects.,Teif and Hazzan (2006); Ma (2007); Détienne (1997); Ragonis and Ben-Ari (2005a); Teif and Hazzan (2006); Vainio (2006)
81,ObjClass,An object is a subtype of a class.,Teif and Hazzan (2006)
82,ObjClass,"A set (such as ""team"" or ""the species of birds"") cannot be a class.",Teif and Hazzan (2006)
83,ObjClass,Constructors can include only assignment statements to initialize attributes.,Fleury (2000); Ragonis and Ben-Ari (2005a)
84,ObjClass,"Instantiation involves only the execution of the constructor method body, not the allocation of memory.",Ragonis and Ben-Ari (2005a); Kaczmarczyk et al. (2010)
85,ObjClass,Difficulties understanding the empty constructor.,Ragonis and Ben-Ari (2005a)
86,ObjClass,Initializing an attribute with a constant as part of its declaration causes confusion in distinguishing between a class and an object.,Ragonis and Ben-Ari (2005a)
87,ObjClass,Initializing an attribute with a constant within the constructor declaration causes confusion in distinguishing between a class and an object.,Ragonis and Ben-Ari (2005a)
88,ObjClass,Invocation of the constructor method can replace its definition.,Ragonis and Ben-Ari (2005a)
89,ObjClass,Difficulties in understanding where objects of a simple class are created before the creation of the object of a composed class.,Ragonis and Ben-Ari (2005a)
90,ObjClass,Difficulties understanding objects if their attributes are not explicitly initialized.,Ragonis and Ben-Ari (2005a)
91,ObjClass,"Objects are created by themselves, without explicit instructions to create them.",Détienne (1997); Ragonis and Ben-Ari (2005a); Kaczmarczyk et al. (2010)
92,ObjClass,Declaring a variable also creates an object.,Ma (2007)
93,ObjClass,You can define a non-constructor (Java) method to create a new object.,Ragonis and Ben-Ari (2005a)
94,ObjClass,A textual representation of an object is a reference to the object.,Holland et al. (1997)
95,ObjClass,"There is no need to invoke the constructor method, because its definition is sufficient for object creation.",Ragonis and Ben-Ari (2005a)
96,ObjClass,"If objects of a simple class already exist, there is no need to create the object of a composed class that builds on them.",Ragonis and Ben-Ari (2005a)
97,ObjClass,"If the object attributes are initialized in the class declaration, there is no need to create objects.",Ragonis and Ben-Ari (2005a)
98,ObjClass,The creation of an object of a composed class automatically creates objects of the simple class that appear as attributes of the composed class.,Ragonis and Ben-Ari (2005a)
99,ObjState,"During a method call, an object attribute is duplicated as a local variable. Assignments update both.",Sajaniemi et al. (2008)
100,ObjState,"During a method call, an object attribute is duplicated as a local variable. The local variable is initialized from the object, updated by the method, then returned to object at end.",Sajaniemi et al. (2008)
101,ObjState,"During a method call, an object attributes is duplicated as a local variable, which is initialized to a default value (e.g., zero). Assignments only affect the local variable, not the object.",Sajaniemi et al. (2008)
102,ObjState,Parameters belong to the called object.,Sajaniemi et al. (2008)
103,ObjState,Local variables belong to the called object.,Sajaniemi et al. (2008)
104,ObjState,A main method’s local variables belong to the called object.,Sajaniemi et al. (2008)
105,ObjState,An object can only hold instance variables of a single type.,Holland et al. (1997)
106,ObjState,No object attributes within objects; they only exist locally during method calls.,Sajaniemi et al. (2008)
107,ObjState,An object cannot be the value of an attribute.,Ragonis and Ben-Ari (2005a)
108,ObjState,Attributes of composed classes include object attributes from the simple classes instead of the objects.,Ragonis and Ben-Ari (2005a)
109,ObjState,Attributes of composed classes include object attributes from the simple classes in addition to the objects.,Ragonis and Ben-Ari (2005a)
110,ObjState,An object is a wrapper for a single variable. The object is equated with the variable.,Holland et al. (1997); Vainio (2006)
111,ObjState,Attributes in a simple class are automatically replicated in the composed class by transferring its meaning.,Ragonis and Ben-Ari (2005a)
112,ObjState,"To change the value of an attribute of an object of a simple class that is the value of an attribute in an object of a composed class, you need to construct a new object.",Ragonis and Ben-Ari (2005a)
113,ObjState,Difficulty grasping what the properties are that represent an object’s state.,Sorva (2007)
114,ObjState,The name of the variable that the object was most recently assigned to is a part of an object’s state.,"Sorva (2007, 2008)"
115,ObjState,Storing an object in memory means storing a copy of the program code of the object’s class.,Sorva (2007)
116,ObjState,Storing an object means storing the constructor parameters given upon object creation. These parameter values unambiguously define the object. (Methods do not affect state.).,Sorva (2007)
117,ObjState,You can define a (Java) method that adds an attribute to the class.,Ragonis and Ben-Ari (2005a)
118,ObjState,"Objects of a simple class, used as values of the attributes of a composed class, have to be identical.",Ragonis and Ben-Ari (2005a)
119,ObjState,"In a composed (Java) class, you can develop a method that adds an attribute of a simple class to the composed class.",Ragonis and Ben-Ari (2005a)
120,ObjState,"In a composed (Java) class, you can develop a method that removes an attribute of a simple class from the composed class.",Ragonis and Ben-Ari (2005a)
121,ObjState,Objects of the same class cannot have equal attribute values.,Ragonis and Ben-Ari (2005a)
122,ObjState,Attributes of the simple class must be directly accessed from the composed class instead of through an interface.,Ragonis and Ben-Ari (2005a)
123,ObjState,Objects are allocated the same amount of memory regardless of definition and instantiation.,Kaczmarczyk et al. (2010)
124,Methods,Objects ‘know’ which methods are operating on them (rather than method calls ‘knowing’ which object they operate on).,Sajaniemi et al. (2008)
125,Methods,Cannot have methods with the same name in different classes.,Fleury (2000); Ragonis and Ben-Ari (2005a)
126,Methods,The dot operator can only be applied to methods.,Fleury (2000)
127,Methods,You can define a method that replaces the object itself.,Ragonis and Ben-Ari (2005a)
128,Methods,You can define a method that destroys the object itself.,Ragonis and Ben-Ari (2005a)
129,Methods,You can define a method that divides the object into two different objects.,Ragonis and Ben-Ari (2005a)
130,Methods,Methods can only do assignment.,Holland et al. (1997)
131,Methods,"Methods from the simple class are not used; instead, new equivalent methods are defined and duplicated in the composed class.",Ragonis and Ben-Ari (2005a)
132,Methods,You can invoke a method on an object only once.,Ragonis and Ben-Ari (2005a)
133,Methods,Difficulties in understanding that a method can be invoked on any object of the class.,Ragonis and Ben-Ari (2005a)
134,Methods,"Methods can only be invoked on objects of the composed class, not on objects of the simple class defined as values in its attributes.",Ragonis and Ben-Ari (2005a)
135,Methods,"After a composed class is defined, new methods cannot be defined in the simple class.",Ragonis and Ben-Ari (2005a)
136,Methods,A (Java) method must always be invoked on an explicit object.,Ragonis and Ben-Ari (2005a); Hristova et al. (2003)
137,Methods,Static and dynamic existence of methods mixed up.,Sajaniemi et al. (2008)
138,Methods,Methods that are declared in a simple class have to be declared again in a composed class for each of the simple objects.,Ragonis and Ben-Ari (2005a)
139,OtherOOP,There is no need for mutators and accessors for attributes that are of a simple class within a composed class.,Ragonis and Ben-Ari (2005a)
140,OtherOOP,Object lookup involves searching through each object in memory for a suitable ID.,local
141,OtherOOP,Objects are stored in folders on the hard drive and lookup means searching through them.,local
142,OtherOOP,An object is just a piece of code (and not a dynamic actor at runtime).,Eckerdal and Thuné (2005)
143,OtherOOP,An object is just a record.,Holland et al. (1997)
144,OtherOOP,"An object is a ‘way of working’ consisting of action: expressions, return expressions etc. It has a control flow. No concept of state.",Vainio (2006)
145,OtherOOP,Difficulties in understanding how one class recognizes another.,Ragonis and Ben-Ari (2005a)
146,OtherOOP,Difficulties in understanding inheriting functionality (methods).,Détienne (1997)
147,OtherOOP,Difficulties in understanding how the computer knows what class attributes and methods are.,Ragonis and Ben-Ari (2005a)
148,OtherOOP,Assignment confused with subclassing.,Ma (2007)
149,OtherOOP,Inheritance hierarchies express the parts of composite classes.,Détienne (1997)
150,Misc,Difficulties understanding the effect of input function calls on execution.,Bayman and Mayer (1983); du Boulay (1986); Putnam et al. (1986)
151,Misc,Confusion between an array and its cell.,du Boulay (1986)
152,Misc,Difficulties with dealing with 2D array subscripts and dimensions.,du Boulay (1986)
153,Misc,Difficulties with arrays containing indices as data.,du Boulay (1986)
154,Misc,Values of conditional expressions get printed out.,Putnam et al. (1986)
155,Misc,Numbers are just numbers. (Why have 􀀀 and separately?),Hristova et al. (2003)
156,Misc,A type is a set of constraints on values.,Vainio (2006)
157,Misc,Types can change on the fly (in Java).,Vainio (2006)
158,Misc,Confusion between data in memory and data on screen.,Bayman and Mayer (1983)
159,Misc,The computer keeps what has been printed in memory (as part of state?).,Bayman and Mayer (1983)
160,Misc,"Confusing textual representations with each other, e.g., the string ""456"" with the number.",du Boulay (1986)
161,Misc,Boolean values are just something used in conditionals and not data comparable to numbers or strings.,local
162,Misc,A loop control variable constrains the values that can be input within the loop.,Putnam et al. (1986); Sleeman et al. (1986)
