File Name,Code Snippet
s005477287.java,"class Main{
public static void main(String[] a){
for(int x = 1; x <= 9; x++){
for(int y = 1; y <= 9; y++){
System.out.print(x * y);
}
}
}
}"
s005815885.java,"public class Aoj0500 {

	public static void main(String[] args) {
		for (int i = 1; i <= 9; i++) {
			for (int j = 1; j <= 9; j++) {
				System.out.printf(""%dx%d=%d\n"", i, j, i * j);
			}
		}
	}
}"
s006538158.java,"class Main{
   public static void main(String[] args){
      int x,y,z;
   for(x=0; x<10; ++x){
    for(y=0; x<10; ++y){
   z=x*y;
   System.out.println(x+""x""+y+""=""+z);
   }
   }
}
}"
s006959232.java,"public class Main{
	public static void main(String[] args){
		for(int i=1;i<10;i++){
			for(int j=1;j<10;j++){
				int S=i*j;
				System.out.println(i+""x""+j+""=""+S);
			}
		}
	}
}"
s007296722.java,"
public class Main{
    public static void main(String args[]) throws Exception {
    	for(int i=1;i<10;i++){
    		int sum = 0;
    		for(int j=1;j<10;j++){
    			sum = sum + j;
    			System.out.println(i + ""x"" + j + ""="" + sum);
    		}
    	}
    }
}"
s007750544.java,"import java.util.Scanner;

class Main {
	public static void main(String[] args){
		for (int i = 1; i <= 9; i++){
			for (int j = 1; j <= 9; j++){
				System.out.println(i + ""x"" + j + ""="" + i * j);
			}
		}
	}
}"
s007887595.java,"class Main{
    public static void main(String[] a){
for(int i=1;i<10;i++){
		for(int j=1;j<10;j++ ){
			System.out.println(i+ ""x""+j+""=""+(i*j));
		}
		}
    }
}"
s008488780.java,"class Main {
  public static void main(String... args) {
    for(int i = 1; i <= 9; i++) {
      for(int j = 1; j <= 9; j++) {
        System.out.println(i + ""x"" + j + ""="" + i*j);
      }
    }
  }
}"
s008604705.java,"class Main {
	public static void main(String[] a) {
		for(int i=1; i<=9;i++){
			for(int j=1; j<=9;j++){
				System.out.println(i+""x""+i+""=""+i*j);
			}
		}
	}
}"
s008758167.java,"class Main
{
	public static void main(String args[])
	{
		int kuku[][] = new int[11][11];
		
		for(int i=0; i<9; i++){
			for(int j=0; j<9; j++){
				kuku[i][j] = (i+1) * (j+1);
			}
		}
		
		for(int i=0; i<9; i++){
			for(int j=0; j<9; j++){
				System.out.print((i+1) + ""x"" + (j+1) + ""="" + kuku[i][j] + "" "");
			}
		System.out.println();
		}
	}
}"
s009871129.java,"class v0000{
    public static void main(String[] args){
	for(int i=1;i<10;i++){
	    for(int j=1;j<10;j++){
		System.out.println( i + ""x"" + j + ""="" + (i*j) );
	    }
	}
    }
}"
s010234356.java,"class Main{
    public static void main(String[] a){
for(int a=1;a<=9;a++){
	            for(int b=1;b<=9;b++){
	                System.out.println(a+""??""+b+""=""+a*b);
	            }
	        }
    }
}"
s010927575.java,"/**
 * 0000：QQの解答
 * 
 * @author MS14A
 * @version 2015/06/21
 */
public class Main {

    /**
     * 九九を出力して終了する 但し、×記号の代わりに、小文字の x を使用する
     * 
     * @param args
     */
    public static void main(String[] args) {

        // 段数ごとに九九を出力
        for (int lineNumber = 1; lineNumber <= 9; ++lineNumber) {
            printMultiplicationTable(lineNumber);
        }
    }

    /**
     * 段数を受け取り、その段の九九を出力する。
     * 
     * @param lienNumber 段数
     */
    private static void printMultiplicationTable(int lienNumber) {
        for (int rowNumber = 1; rowNumber <= 9; ++rowNumber) {
            System.out.println(String.valueOf(lienNumber) + ""x""
                    + String.valueOf(rowNumber) + ""=""
                    + lienNumber * rowNumber);
        }
    }
}"
s011736986.java,"class Main{
    public static void main(String[] a){
    for ( int i = 1; i < 10; i++) {
        for (int j = 1; j < 10 ; j++) {
           System.out.println(i + ""x"" + j + ""="" + i*j);
    }
}"
s012571275.java,"public class Main {
    public static void main(String[] args) {
        for(int i = 1; i <= 9; i++) {
            for(int j = 1; j <= 9; j++) {
                System.out.println(i + ""x"" + j + ""="" + (i*j));
            }
        }
    }
}"
s012642913.java,"public class Main
{
	public static void main(String[] args)
	{
		for(int i=1; i<10; i++)
		{
			System.out.printf(""%dx%d=%d\n"", i, i, i*i);
		}
	}
}"
s013038282.java,"public class Main{
    public static void main(String[] args){
    	int i,j;
    	for (i=1;i<=9;i++){
    		for (j=1;j<=9;j++){
    			System.out.println(i+""×""+j+""=""+i*j );
    		}
    	}
    }
}
"
s013626743.java,"
public class Main {
	public static void main(String[] args) {
		for (int i = 1; i <= 9; i++) {
			for (int j = 1; j <= i; j++)
				System.out.println(i + ""x"" + j + ""="" + i * j);
		}
	}
}"
s013956758.java,"for(int i=1;i<=9;i++){
	for(int j=1;j<=9;j++){
		System.out.println(i+""x""+j+""=""+(i*j));
	}
}"
s014189708.java,"class Main{
    public static void main(String[] a){
     for(int i = 1; i <10; i++){
      for(int j = 1; j <10; j++){
       System.out.println(i + ""x"" + j + ""="" + i*j);
      }
    }
}"
s014824426.java,"public static void main(String[] args) {
	for(int i=1;i<10;i++){
		for(int j=1;j<10;j++){
			System.out.println(i+""??""+j+""=""+i*j);
		}
	}
}"
s016125309.java,"public class Main {
    public static void main(String args[]) {
        for(int i = 1; i <= 9; i++) {
            for(int j = 1; j <= 9; j++) {
                // ?¨??????????
                System.out.println(""""+i+'x'+j+'='+(i*j));
            }
        }
    }
}"
s017885069.java,"
public class Nain {
	public static void main(String[] args) {
		for (int i = 1; i <= 9; i++)
			for (int j = 1; j <= 9; j++)
				System.out.println(i + ""x"" + j + ""="" + (i * j));
	}
}"
s018398126.java,"class Main{
	public static void main(String[] args){
		for(int i=1;i<10;i++){
			for(int j=1;j<10;j++){
				System.out.printf(""%d×%d=%d\r\n"",i,j,i*j);
			}
		}
	}
}
"
s018823283.java,"class Main{
	public static void main(String[] a){
		for(int i = 1;i <= 9;i++){
			for(int j = 1;j <= 9;j++){
				System.out.println(i + ""x"" + j + ""="" + i * j);
			}
		}
	}
}

"
s018909851.java,"class Main {
    public static void main(String[] args) {
        for (int i=1; i<=9; i++) {
            for (int j=1; j<=9; j++) {
                System.out.println(i + ""x"" + j + ""="" + i*j);
            }
        }
    }
}"
s019593456.java,"class Main{
    public static void main(String[] a){
         for(int i = 1; i <= 9; i++){
             for(int j = 1; j <= 9; j++){
                 System.out.println(i + ""x"" + j + ""="" + i * j);
          }
}
    }
}"
s019912536.java,"import java.util.stream.IntStream;

public class Main {
	public static void main(String[] a) {
		IntStream.rangeClosed(1,9).forEach(i -> {
			IntStream.rangeClosed(1, 9).forEach(j -> {
				System.out.println(i + ""x"" + j + ""="" + i * j);
			});
		});
	}
}"
s020111177.java,"
public class Main {

    public static void main(String[] a) {
        
        int multi;
        for(int i=1 ; i<10 ; i++){
            for(int j=1 ; j<10 ; j++){
                multi=i*j;
                System.out.println(i +"" x "" +j +"" = ""+multi);
            }
        
    }
    }
    
}"
s020406133.java,"public class Main{
    public static void main(String args[]) throws Exception {
 
        String out;
        int result = 0;
 
        for (int i = 1; i < 10; i++) {
 
            for (int j = 1; j < 10; j++) {
                 
                result = i*j;
 
                out = i + ""x"" + j + ""="" + result;
 
                System.out.println(out);
 
            }
 
        }
 
    }
 
}"
s021341900.java,"import java.util.*;
public class Main{
	public static void main(String args[]){
		ArrayList[] a;
		a=new ArrayList[10];
		for(int i=1;i<=9;i++){
			for(int j=1;j<=9;j++){
				System.out.printf(""%dx%d=%d\n"",i,j,i*j);
			}
		}
		
	}
}"
s022090530.java,"class main {

	public static void main (String[] args){
		
		for (int i=1; i<10; i++)
		{
			
			for (int j=1; j<10; j++)
			{
				
				System.out.println(i + ""x"" + j + ""="" + i*j);
			}
			
		}
		
		

		
	}
	
}"
s023134098.java,"public class Main {

  public static void main (String[] args)
  {
    for (int i = 1;i < 10 ; i++ ) {
      for (int j = 1;j< 10 ;j ++ ) {
        System.out.format(""%dx%d=%d""i,j,i*j);
      }
      
    }
  }
}"
s023341091.java,"class Main{
  public static void main(String[] a){
    
    int x,y,p;
    for(x=1;x<10;x++){
      
      for(y=1;y<10;y++)
      {
        p=x*y;
        System.out.printf(""%dx%d=%d\n"", x, y, p);
      }               
    } 
  }
}"
s023459751.java,"class Main{
    public static void main(String[] a){
int d;
for(int b = 0;b < 10;b++){
for(int y = 0;y < 10;y++){
d=b*y;
System.out.println(b+""x""+y+""=""+d);
            }
        }

    }
}"
s023633870.java,"public class Main {
 
    public static void main(String[] args) {
        for(int i =1;i<10;i++){
         for(int k=1;k<10;k++){
             System.out.println(i+""x""+ k +""=""+(i*k));
         }
        }
 
 }
}"
s024059122.java,"class Main{
    public static void main(String[] a){
?????????for(int i=1;i<=9;i++){
       for(int j=1;j<=9;j++){
        System.out.println(i+""x""+j+""=""+i*j);
       }
     }
    }
}"
s024442289.java,"class Main{
    public static void main(String[] args){
int c;
for(int a = 1; a <= 9; a++){
for(int b = 1; b <= 9; b++){
c = a * b;
System.out.println(a+""x""+b+""=""+c);
            }

        }

    }
}"
s025637532.java,"public class hello{
    public static void main(String[] args){
      int a = 9;
      for(int b=1;b<=a;b++){
        System.out.println(b+""x""+b+""=""+b*b);
      }
    }
}"
s025721623.java,"class Main{
    public static void main(String[] a){
          for(int a=1;a<=9;a++){
	            for(int b=1;b<=9;b++){
	                System.out.println(a+""x""+b+""=""+a*b);
	            }
	        }
    }
}"
s026011016.java,"public class Main {public static void main(String[] a){int i=1,j=1;for(;i<=9;i++)for(;j<=9;j++)System.out.println(i+""x""+j+""=""+i*j);}}"
s026201779.java,"class Main{static{int i=0,j;for(;i<9;)for(i++,j=0;j<9;)System.out.println(i+""x""+ ++j+""=""+i*j);System.exit(0);}}"
s026275119.java,"import java.util.*;

public class Main {
	public static void main(String[] args) {
		for (int i = 1; i <= 9; i++) {
			for (int j = 1; j <= 9; j++) {
				System.out.println(i + ""x"" + j + ""="" + (i * j));
			}
		}
	}
}"
s027801074.java,"public class Main {
    public static void main(String[] a) {
    		for (int i = 1; i < 10; i++) {
    			for (int j = 1; j < 10; j++) {
    				System.out.println(i + ""x"" + j + ""="" + i*j);
    			}
    		}
    }
}"
s027808561.java,"class Main{
    public static void main(String[] a){
        for(int x=1;x<=9;x++){
            for(int y=1;y<=9;y++){
                System.out.println(x+""x""+y+""=""+x*y);
      }
     }
    }
   }
  "
s028973460.java,"/* package whatever; // don't place package name! */

import java.util.*;
import java.lang.*;
import java.io.*;

/* Name of the class has to be ""Main"" only if the class is public. */
class Ideone
{
	public static void main (String[] args)
	{
		for(int i = 1; i <= 9; i++){
			for(int j = 1; j<=9; j++){
				System.out.println(i + ""x"" + j +""="" + i*j);
			}
		}
	}
}"
s030387087.java,"class Main{
    public static void main(String[] args){
        int[][] a = new int[9][9];
	int multi;
	for(int i=0; i<9; i++){
	    for(int j=0; j<9; j++){
		multi = (i+1)*(j+1);
		System.out.println((i+1)+""×""+(j+1)+""=""+multi);
	    }
	}
    }
}"
s030461943.java,"class Main{
    public static void main(String[] a){
		for(int i = 1; i <= 9; i++){
			for(int j = 1; j <= 9; j++){
				System.out.println(i + ""x"" + j + ""="" + i*j);
			}
		}
    }
}"
s030614729.java,"public class Main
{
	public static void main( String[] args ) {
		for(int i =1;i<10;i++){
			for(int j= 1;j<10;j++){
				System.out.println(i + ""x"" + j +""=""+ i*j);
			}
		}
	}
}"
s030622880.java,"class Main{
    public static void main(String[] a){
    	for(int i = 1;i < 10;i++){
    		for(int j = 1;j < 10;j++){
    			System.out.println(i + ""??"" + j + ""="" + i*j);
    		}
    	}

    }
}"
s031168959.java,"class Main {
public static void main(String[] sadfklasfl)
{
for (int i = 1; i < 10; i++)
for (int j = 1; j < 10; j++)
System.out.println(i + 'x' + j + '=' + i * j);
}
}"
s032075309.java,"
public class QQ {
	public static void main(String args[]){
		int i,j;
		
		for(i = 1; i < 10; i++){
			for(j = 1; j < 10; j++){
				System.out.println(i + ""x"" + j);
			}
		}
	}
}"
s032317377.java,"import util.*;
 
public class Main{
    public static void main(String[] a){
        int x,y,ans;
        for(x=1;x<10;x++) {
            for(y=1;y<10;y++) {
                ans = x*y;
                System.out.println(String.toString(x + ""x"" + y + ""="" ans));
            }
        }
    }
}"
s032348204.java,"import java.util.*;

public class main {

    public static Scanner in;
 
    public static void main(String[] args) 
	{
        in = new Scanner(System.in);

        doStuff();
    }

    public static void doStuff() 
	{
        for(int i = 1; i <= 9; i++)
		{
			for(int j = 1; j <= 9; j++)
			{
				System.out.format(""%dx%d=%d\n"", i, j, i * j);
			}
		}
    }

    public static void solve() 
	{
    
    }
}"
s032461967.java,"public class Main{

     public static void main(String []args)
     {
        int a, b, c, d;
 
    a = 1;
    b = 9;
 
    for (c = a; c <= b; c++) {
      
 
      for (d = 1; d < 10; d++) {
         System.out.println(c+""*""+d+"" = ""+(c*d));
      }
    }
        
     }
}"
s032787944.java,"public class Main {

    private static final int BEGIN = 1;
    private static final int END = 9;

    /**
     * 九九の一覧を表示する
     *
     * @param args
     */
    public static void main(String[] args) {
        // 各オペランドにつき、9回ずつループを回し、全ての組み合わせを表示する
        for (int i = BEGIN; i <= END; i++) {
            for (int j = BEGIN; j <= END; j++) {
                System.out.println(createMultiplicationLine(i, j));
            }
        }
    }

    /**
     * 指定されたオペランドを用いて、掛け算の1行を表す文字列作成する。
     * 例： ""1x2=2""
     *
     * @param i オペランド1
     * @param j オペランド2
     * @return 指定されたオペランドを用いて作成した掛け算を表す文字列
     */
    protected static String createMultiplicationLine(int i, int j) {
        StringBuilder buffer = new StringBuilder();
        buffer.append(i);
        buffer.append(""x"");
        buffer.append(j);
        buffer.append(""="");
        buffer.append(i * j);
        return buffer.toString();
    }
}"
s033105149.java,"
public class Main {

	public static void main(String[] args) {
		for(int i=1;i<10;i++){
			for(int j=1;j<10;j++){
				System.out.println(i +""x"" + j +""="" + (i*j));
			}
		}

	}

}"
s033930182.java,"class AOJ{
	public static void main(String[] args){
		for(int i=1;i<10;i++){
			for(int j=1;j<10;j++){
				System.out.println(i+""x""+j+""=""+i*j);
			}
		}
	}
}"
s034425567.java,"
public class Main {
	public static void main(String[]args){
		QQ();
	}
	
	public static void QQ(){
		for(int i=1;i<10;i++){
			for(int j=1;j<10;j++)System.out.print(i+""x""+j+""=""+(i*j));
			if(i!=9)System.out.println();
		}
	}
}"
s034748158.java,"public class Qq {

	public static void main(String[] args) {
		for(int i=1;i<10;i++){
			for(int j=1;j<10;j++){
				System.out.println(i +""x"" + j +""="" + (i*j));
			}
		}

	}

}"
s035800541.java,"public class main {

	public static void main(String[] args) {
		for(int i = 1; i < 10 ;i++) {
			for(int j = 1;j < 10;j++) {
				System.out.println(i+""x""+j+""=""+i*j);
			}
 		}
	}

}"
s036534044.java,"class Main{
    public static void main(String[] a){
	for (Integer first = 1; first < 10; first++) {
//			System.out.println(""first:"" + first);
			for (Integer last = 1; last < 10; last++) {
//				System.out.println(""last:"" + last);
				
				// 掛け算結果
				Integer multiple = first*last;
//				System.out.println(""multiple:"" + multiple);
				System.out.println(first + ""x"" + last + ""="" + multiple);
			}
		}
    }
}
"
s037159633.java,"import java.util.*;
import static java.util.Arrays.*;
import static java.lang.Math.*;

// AOJ 0000
public class Main {

	static Scanner sc = new Scanner(System.in);
	public static void main(String[] args) {
		for (int i = 1; i <= 9; i++) {
			for (int j = 1; j <= 9; j++) {
				System.out.println(i + ""x"" + j + ""="" + j * i);
			}
		}
	}
}"
s038143087.java,"import java.io.BufferedReader;
import java.io.InputStreamReader;
import java.util.*;

public class Main {
    final BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
    final String LINE_SPR = System.getProperty(""line.separator"");
    final int BIG_MOD = 1000000007;

    void run() throws Exception {
        for(int i = 1; i <= 9; i++) 
            for(int j = 1; j <= 9; j++) 
                System.out.println(i + ""x"" + j + ""="" + (i * j));
    }


    /*
     * Templates
     */
    void dumpObjArr(Object[] arr, int n) {
        for(int i = 0; i < n; i++) {
            System.out.print(arr[i]);
            if(i < n - 1)
                System.out.print("" "");
        }
        System.out.println("""");
    }

    void dumpObjArr2(Object[][] arr, int m, int n) {
        for(int j = 0; j < m; j++) 
            dumpObjArr(arr[j], n);
    }

    int ni() throws Exception {
        return Integer.parseInt(br.readLine().trim());
    }

    long nl() throws Exception {
        return Long.parseLong(br.readLine().trim());
    }

    String ns() throws Exception {
        return br.readLine();
    }

    boolean isPrime(int n) {
        for(int i=2;i<n;i++) {
            if(n%i==0)
                return false;
        }
        return true;
    }

    int getPrime(int n) {
        List<Integer> primes = new ArrayList<Integer>();
        primes.add(2);
        int count = 1;

        int x = 1;
        while(primes.size() < n) {
            x+=2;
            int m = (int)Math.sqrt(x);
            for(int p : primes) {
                if(p > m) {
                    primes.add(x);
                    break;
                }

                if(x % p == 0) 
                    break;
            }
        }

        return primes.get(primes.size() - 1);
    }

    void gcjPrint(String str, int t) {
        System.out.println(""Case #"" + t + "": "" + str);
    }

    public static void main(String[] args) throws Exception {
        new Main().run();
    }
}"
s038706311.java,"class Main{
    public static void main(String[] a){
	for(int i=1; i<10; i++){
	    System.out.println(i+""x""+i+""=""+i*i);
	}

    }
}"
s039065754.java,"class Main
{
public static void main(String[] args)
{
for(int i=1; i<=9; ++i)
for(int j=1; j<=9; ++j)
System.out.println(i + ""x"" + j + ""="" + i*j);
}
}"
s039090425.java,"#include<iostream>
#include<cstdio>
#include<cstring>
#include<cmath>
#include<algorithm>
#include<map>

using namespace std;
int pri[20],cnt;
map<int,int> prime;
map<int,int> yin;

int d[128][1024][1<<6];

void handle(int m)
{
    int i,j,s,n,flag;
    cnt=0;
    n=m;

    for(i=2;i<=m;i++)
    {
        flag=0;
        for(j=2;j<=sqrt(i);j++)
        {
            if(i%j==0)
            {
                flag=1;
                break;
            }
        }
        if(!flag)
            pri[cnt++]=i;
    }

    for(i=0;i<cnt;i++)
    {
        if(n%pri[i]==0)
        {
            int s=0;
            while(n%pri[i]==0)
            {
                n/=pri[i];
                s++;
            }
            prime[pri[i]]=s;
        }
    }
    for(i=1;i<=m;i++)
    {
        int ss=0,num=i;
        if(m%num==0)
        {
            for(j=0;j<cnt;j++)
            {
                if(num%pri[j]==0)
                {
                    int s=0;
                    while(num%pri[j]==0)
                    {
                        num/=pri[j];
                        s++;
                    }
                    if(s==prime[pri[j]])
                    {
                        ss+=1<<j;
                    }
                }
            }
            yin[i]=ss;
        }
    }
}
int main()
{
    freopen(""in.txt"", ""r"", stdin);
    int N, M, K;
    while(scanf(""%d%d%d"",&N,&M,&K)!=EOF)
    {
        prime.clear();
        yin.clear();
        handle(M);
//        for(int i=0;i<cnt;i++)
//            printf(""%d "",prime[pri[i]]);
//        printf(""\n"");
//        for(int i=1;i<=M;i++)
//            if(M%i==0)
//            {
//                printf(""%d "",yin[i]);
//            }
        int tot = (1<<cnt)-1;
        memset(d, 0, sizeof(d));
        d[0][0][0] = 1;
        for (int i = 0; i < K; i++)
            for (int j = 0; j < N; j++)
                for (int k = 0; k < tot; k++)
                {
                    for (map<int, int>::iterator it = yin.begin(); it != yin.end(); it++)
                    {
                        if (j+it->first > N) continue;
                        d[i+1][j+it->first][k|it->second] += d[i][j][k];
                    }
                }
        printf(""%d\n"", d[K][N][tot]+1);
    }
    return 0;
}"
s039630785.java,"public class Main {
	public static void main(String args[]){
		System.out.println(""1x1=1"");System.out.println(""1x2=2"");System.out.println(""1x3=3"");System.out.println(""1x4=4"");System.out.println(""1x5=5"");
		System.out.println(""1x6=6"");System.out.println(""1x7=7"");System.out.println(""1x8=8"");System.out.println(""1x9=9"");

		System.out.println(""2x1=2"");System.out.println(""2x2=4"");System.out.println(""2x3=6"");System.out.println(""2x4=8"");System.out.println(""2x5=10"");
		System.out.println(""2x6=12"");System.out.println(""2x7=14"");System.out.println(""2x8=16"");System.out.println(""2x9=18"");

		System.out.println(""3x1=3"");System.out.println(""3x2=6"");System.out.println(""3x3=9"");System.out.println(""3x4=12"");System.out.println(""3x5=15"");
		System.out.println(""3x6=18"");System.out.println(""3x7=21"");System.out.println(""3x8=24"");System.out.println(""3x9=27"");

		System.out.println(""4x1=4"");System.out.println(""4x2=8"");System.out.println(""4x3=12"");System.out.println(""4x4=16"");System.out.println(""4x5=20"");
		System.out.println(""4x6=24"");System.out.println(""4x7=28"");System.out.println(""4x8=32"");System.out.println(""4x9=36"");

		System.out.println(""5x1=5"");System.out.println(""5x2=10"");System.out.println(""5x3=15"");System.out.println(""5x4=20"");System.out.println(""5x5=25"");
		System.out.println(""5x6=30"");System.out.println(""5x7=35"");System.out.println(""5x8=40"");System.out.println(""5x9=45"");

		System.out.println(""6x1=6"");System.out.println(""6x2=12"");System.out.println(""6x3=18"");System.out.println(""6x4=24"");System.out.println(""6x5=30"");
		System.out.println(""6x6=36"");System.out.println(""6x7=42"");System.out.println(""6x8=48"");System.out.println(""6x9=54"");

		System.out.println(""7x1=7"");System.out.println(""7x2=14"");System.out.println(""7x3=21"");System.out.println(""7x4=28"");System.out.println(""7x5=35"");
		System.out.println(""7x6=42"");System.out.println(""7x7=49"");System.out.println(""7x8=56"");System.out.println(""7x9=63"");

		System.out.println(""8x1=8"");System.out.println(""8x2=16"");System.out.println(""8x3=24"");System.out.println(""8x4=32"");System.out.println(""8x5=40"");
		System.out.println(""8x6=48"");System.out.println(""8x7=56"");System.out.println(""8x8=64"");System.out.println(""8x9=72"");

		System.out.println(""9x1=9"");System.out.println(""9x2=18"");System.out.println(""9x3=27"");System.out.println(""9x4=36"");System.out.println(""9x5=45"");
		System.out.println(""9x6=54"");System.out.println(""9x7=63"");System.out.println(""9x8=72"");System.out.println(""9x9=81"");
	}
}"
s039669103.java,"public class Main{
	public static void main(String[] a){
		
		for(int i = 1;i <= 9 ; i++){
			for(int j = 1; j <= 9; j++){
				System.out.println(i + ""x"" + j + ""="" + (i*j));
			}
		}
	}
}"
s039780304.java,"//QQ
class Main {

	public static void main(String[] args){


		for (int i = 1; i <= 9; i++) {
			for (int j = 1; j <= 9; j++) {

				System.out.println(i+""x""+j+""=""+i*j);
				
			}
		}


		
	}
}"
s040061825.java,"public class Main{
	public static void main(String[]args){
		for(int i=1; i<10;i++){
			for(int j=1; j<10;j++){
				int T = i * j;
				System.out.println(i + ""x"" + j + ""="" + T);
			}
		}
	}
}
"
s040401325.java,"class Main{
    public static void main(String[] a){

for (int i = 1; i < 10; i++) {
for (int j = 1; j < 10; j++) {
System.out.println(i + ""x"" + j + ""="" + i*j);
}
}
    }
}"
s040823445.java,"package vol_0_3;

public class Main {

	public static void main(String[] args) {
		solve_0000();
	}

	public static void solve_0000(){
		for (int i = 1;i<10;i++){
			for(int j=1;j<10;j++){
				int answer = i*j;
				System.out.println(i+""x""+j+""=""+ answer);
			}
		}
	}

}"
s041313768.java,"class A{
	public static void main(String args[]){
		for(int i=1;i<=9;i++){
			for(int k=1;k<=9;k++){
				String output = i+""x""+k+""=""+(i*k);
				System.out.println(output);
			}
		}
	}
}"
s041400907.java,"class Main{
    public static void main(String[] args){
       for (int i = 0; i < 9 * 9; i++) {
			int a = i / 9 + 1;
			int b = i % 9 + 1;

			System.out.println(a + ""x"" + b + ""="" + a * b);

		}


    }
}"
s041406009.java,"import java.util.*;
public class Main {
	public static void main(String args[]){
		List <Integer> a=new ArrayList<Integer>();
		for(int i=1;i<=9;i++){
			for(int j=1;j<=9;j++){
				System.out.printf(""%dx%d=%d\n"",i,j,i*j);
			}
		}
		
	}
}"
s041551787.java,"public class Main {
    public static void main(String[] args){
    	int i,j;
    	for(i=0;i<9;i++){
    		for(j=0;j<9;j++){
    			System.out.println((i+1)+""x""+(j+1)+""=""+(i+1)*(j+1));
    		}
    	}
    }
}
"
s041766506.java,"/* package whatever; // don't place package name! */

import java.util.*;
import java.lang.*;
import java.io.*;

/* Name of the class has to be ""Main"" only if the class is public. */
class Ideone
{
	public static void main (String[] args) throws java.lang.Exception
	{
	int j = 1;
        int i = 1;

	　　　　for(int count = 1; count < 10; count++){
	　　　　　　　　System.out.println(i +""×"" +  j + ""="" + i * j);
            　　　　　　j++;
            　　　　　　if( j == 10){
                　　　　　　　　i++;
                　　　　　　　　j = 1;
                　　　　　　　　count = 0;
                　　　　　　　　if(i == 10){
                     　　　　　　　　　count = 10;
                　　　　　　　　}
           　　　　　　 }
	　　　　}
	}
}"
s043366360.java,"public class Main{
	public static void main(String args[]){
		for(int i = 1;i <= 9;i++){
			for(int k = 1;k <= 9;k++){
				System.out.println(i + ""x"" + k + ""="" + (i * k));
			}
		}
	}
}"
s044025914.java,"public class Main {
  public static void main(String[] args) {
    for(int i = 1; i <= 9; i++) {
      for (int j = 1; j <= 9; j++) {
        System.out.println(i + ""x"" + j + ""="" + (i*j));
      }
    }
  }
}"
s044631307.java,"class Main{
    public static void main(String[] a){
for(int i= 1;i<10;i++){
for(int j = 1;j<10;j++){
System.out.println(i + ""??"" + j +""=""+(i*j));
}
}

    }
}"
s044928360.java,"public class Main {

  public static void main(String[] args) {
    for (int i = 1; i <= 9; i++) {
      for (int j = 1; j <= 9; j++) {
        System.out.println(i + ""x"" + j + ""="" + (i*j));
      }
    }
  }
  
}"
