submission_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s030461943,u231805726,1441214349,Java,JAVA,java,Accepted,40,17004,181,1/1
s030614729,u822674699,1356772579,Java,JAVA,java,Accepted,40,9156,177,1/1
s030622880,u974705817,1476846204,Java,JAVA,java,Wrong Answer,60,24056,194,0/1
s031168959,u011621222,1337605514,Java,JAVA,java,Wrong Answer,40,9144,168,0/1
s032075309,u635105781,1405925104,Java,JAVA,java,Compile Error,500,0,179,0/1
s032317377,u551959902,1475737870,Java,JAVA,java,Compile Error,0,0,292,0/1
s032348204,u011621222,1379178959,Java,JAVA,java,Compile Error,70,0,411,0/1
s032461967,u161732599,1458569877,Java,JAVA,java,Wrong Answer,40,24120,275,0/1
s032787944,u873284297,1435050812,Java,JAVA,java,Accepted,40,17048,1140,1/1
s033105149,u650207734,1498465539,Java,JAVA,java,Accepted,30,24120,179,1/1
s033930182,u676811480,1469292519,Java,JAVA,java,Runtime Error,0,0,157,0/1
s034425567,u184989919,1491035167,Java,JAVA,java,Wrong Answer,40,23992,227,0/1
s034748158,u650207734,1498464807,Java,JAVA,java,Compile Error,10,0,176,0/1
s035800541,u718658045,1499845901,Java,JAVA,java,Compile Error,0,0,182,0/1
s036534044,u766898982,1528288797,Java,JAVA,java,Accepted,40,24112,424,1/1
s037159633,u863376467,1311583998,Java,JAVA,java,Accepted,90,11000,338,
s038143087,u592506731,1432275652,Java,JAVA,java,Accepted,40,15032,2000,1/1
s038706311,u687465846,1459707276,Java,JAVA,java,Wrong Answer,30,23964,132,0/1
s039065754,u223628983,1269608500,Java,JAVA,java,Accepted,50,9356,150,
s039090425,u011621222,1350295223,Java,JAVA,java,Compile Error,170,0,2276,0/1
s039630785,u131592835,1390791275,Java,JAVA,java,Accepted,40,16824,2453,1/1
s039669103,u949842738,1478680109,Java,JAVA,java,Accepted,30,24060,187,1/1
s039780304,u028376492,1436188921,Java,JAVA,java,Accepted,40,16852,194,1/1
s040061825,u924565640,1597328597,Java,JAVA,java,Accepted,50,24048,192,1/1
s040401325,u893481927,1508379848,Java,JAVA,java,Accepted,40,24008,172,1/1
s040823445,u464358276,1507891929,Java,JAVA,java,Runtime Error,0,0,270,0/1
s041313768,u907152698,1416445001,Java,JAVA,java,Runtime Error,0,0,185,0/1
s041400907,u602293299,1478506526,Java,JAVA,java,Accepted,40,23936,206,1/1
s041406009,u383876854,1404268609,Java,JAVA,java,Accepted,50,17916,238,1/1
s041551787,u143447119,1529335001,Java,JAVA,java,Accepted,40,24160,208,1/1
s041766506,u804946891,1406215267,Java,JAVA,java,Compile Error,0,0,856,0/1
s043366360,u158338651,1460702199,Java,JAVA,java,Accepted,40,24196,185,1/1
s044025914,u071646538,1504168278,Java,JAVA,java,Accepted,30,24240,208,1/1
s044631307,u009679758,1457163653,Java,JAVA,java,Wrong Answer,40,24088,159,0/1
s044928360,u187606290,1410707637,Java,JAVA,java,Accepted,40,16856,213,1/1
s045180220,u435300817,1495192610,Java,JAVA,java,Compile Error,20,0,920,0/1
s045275802,u556417061,1346513266,Java,JAVA,java,Runtime Error,0,8940,215,0/1
s045990999,u871583613,1382545848,Java,JAVA,java,Compile Error,70,0,184,0/1
s046891472,u579608031,1373258706,Java,JAVA,java,Accepted,50,16856,185,1/1
s046937745,u184166075,1471886715,Java,JAVA,java,Accepted,40,23912,186,1/1
s047544287,u528773839,1428844099,Java,JAVA,java,Runtime Error,0,0,206,0/1
s047662360,u252914387,1432223267,Java,JAVA,java,Accepted,40,15004,169,1/1
s047909036,u121854662,1462888557,Java,JAVA,java,Accepted,50,24168,236,1/1
s048506598,u215707914,1489321283,Java,JAVA,java,Wrong Answer,50,24152,152,0/1
s049477099,u383876854,1404269286,Java,JAVA,java,Compile Error,60,0,289,0/1
s049533385,u676399799,1266214489,Java,JAVA,java,Accepted,50,9344,128,
s049915352,u170668497,1486955601,Java,JAVA,java,Runtime Error,0,0,333,0/1
s050295706,u122049280,1401890156,Java,JAVA,java,Compile Error,40,0,179,0/1
s050566712,u642047787,1446384605,Java,JAVA,java,Accepted,40,24292,180,1/1
s051163399,u552466085,1478650445,Java,JAVA,java,Accepted,30,24384,235,1/1
s051656965,u356087427,1441365746,Java,JAVA,java,Compile Error,40,0,114,0/1
s051855791,u011621222,1380583497,Java,JAVA,java,Accepted,40,17020,240,1/1
s052211924,u361407785,1301243357,Java,JAVA,java,Runtime Error,-10,9160,156,
s052790874,u214600613,1405233510,Java,JAVA,java,Accepted,40,16856,159,1/1
s053550749,u104924480,1545803972,Java,JAVA,java,Compile Error,0,0,183,0/1
s053787425,u637673746,1467598213,Java,JAVA,java,Compile Error,40,0,311,0/1
s055464130,u635534452,1456658428,Java,JAVA,java,Runtime Error,0,0,180,0/1
s055812001,u069216442,1355362827,Java,JAVA,java,Accepted,40,9336,198,1/1
s055886267,u591220608,1494296360,Java,JAVA,java,WA: Presentation Error,40,24152,325,0/1
s055890698,u871484203,1474470833,Java,JAVA,java,Accepted,30,24036,183,1/1
s056357377,u122049280,1403488628,Java,JAVA,java,Compile Error,0,0,176,0/1
s057454059,u812614937,1336363164,Java,JAVA,java,Compile Error,80,0,518,0/1
s057530548,u055233486,1538630219,Java,JAVA,java,Accepted,40,24096,214,1/1
s057607323,u395507396,1434614793,Java,JAVA,java,Accepted,40,16852,180,1/1
s057777685,u942404782,1479281414,Java,JAVA,java,Accepted,60,24052,258,1/1
s058076279,u071427789,1308388601,Java,JAVA,java,Wrong Answer,40,9048,211,
s058246516,u865272027,1498465615,Java,JAVA,java,Wrong Answer,30,24168,178,0/1
s059476458,u655123631,1403498648,Java,JAVA,java,Accepted,40,16840,333,1/1
s059766954,u011621222,1366003666,Java,JAVA,java,Wrong Answer,30,17048,330,0/1
s059851824,u489809100,1430735590,Java,JAVA,java,Wrong Answer,40,16992,183,0/1
s060195782,u026004148,1342283348,Java,JAVA,java,Accepted,50,9340,185,1/1
s060328728,u875423331,1503360194,Java,JAVA,java,WA: Presentation Error,30,24284,195,0/1
s060695923,u171562065,1347025631,Java,JAVA,java,Runtime Error,0,8920,172,0/1
s061289979,u722076734,1432819869,Java,JAVA,java,Accepted,40,16852,220,1/1
s061320165,u808689778,1493907305,Java,JAVA,java,Accepted,30,24108,534,1/1
s061684507,u248732349,1488497898,Java,JAVA,java,Accepted,50,24184,212,1/1
s061875670,u793590364,1505967376,Java,JAVA,java,Compile Error,80,0,209,0/1
s062644917,u340523328,1449732139,Java,JAVA,java,Compile Error,80,0,242,0/1
s063305519,u249954942,1492254521,Java,JAVA,java,Accepted,30,24212,208,1/1
s063582493,u289245097,1469603977,Java,JAVA,java,Accepted,40,24152,221,1/1
s064109873,u011621222,1335958411,Java,JAVA,java,Accepted,40,9360,158,1/1
s064414224,u074931626,1456891800,Java,JAVA,java,Accepted,50,24176,193,1/1
s064689442,u292015526,1502239293,Java,JAVA,java,Accepted,30,24168,287,1/1
s065029393,u303383930,1557466940,Java,JAVA,java,Accepted,30,24076,176,1/1
s065679610,u228174383,1487235900,Java,JAVA,java,Compile Error,30,0,175,0/1
s065968414,u175493157,1386737496,Java,JAVA,java,Accepted,30,16852,182,1/1
s066204090,u641215222,1527141534,Java,JAVA,java,Accepted,30,23844,174,1/1
s066255656,u033990330,1500804488,Java,JAVA,java,Compile Error,620,0,195,0/1
s066353740,u121791285,1519644518,Java,JAVA,java,Wrong Answer,30,24140,158,0/1
s066410897,u176666055,1471977989,Java,JAVA,java,Accepted,40,24072,313,1/1
s066649197,u790426992,1485782036,Java,JAVA,java,Accepted,40,24320,226,1/1
s066774995,u672411618,1470705835,Java,JAVA,java,Wrong Answer,40,24260,175,0/1
s066865904,u228174383,1487236017,Java,JAVA,java,Wrong Answer,20,23940,164,0/1
s066910083,u276203229,1430470352,Java,JAVA,java,Compile Error,0,0,179,0/1
s066930855,u613260047,1532481270,Java,JAVA,java,Accepted,60,25840,410,1/1
s067585592,u184541002,1351517439,Java,JAVA,java,Runtime Error,0,9256,199,0/1
s067909700,u155443227,1460095833,Java,JAVA,java,Accepted,40,23932,312,1/1
s067967761,u220242928,1471413313,Java,JAVA,java,Compile Error,40,0,217,0/1
s068215774,u692394646,1484638532,Java,JAVA,java,Accepted,40,24132,189,1/1
s068489853,u403164147,1479213465,Java,JAVA,java,Wrong Answer,60,24740,223,0/1
s068995478,u480404457,1388129794,Java,JAVA,java,Accepted,40,16848,184,1/1
s069079850,u833052802,1458900894,Java,JAVA,java,Wrong Answer,40,24060,210,0/1
s069095615,u413996626,1309076508,Java,JAVA,java,Accepted,50,9368,122,
s069252802,u248155947,1521620303,Java,JAVA,java,Compile Error,0,0,146,0/1
s069290963,u986283797,1591757041,Java,JAVA,java,Accepted,40,23860,222,1/1
s069572890,u220242928,1471412053,Java,JAVA,java,Compile Error,40,0,164,0/1
s069803162,u024248351,1403179293,Java,JAVA,java,Accepted,40,16844,174,1/1
s069969885,u608398757,1460033290,Java,JAVA,java,Accepted,40,23912,179,1/1
s069992825,u796112608,1481114107,Java,JAVA,java,Compile Error,20,0,213,0/1
s070057278,u179550429,1494897138,Java,JAVA,java,Wrong Answer,30,24128,211,0/1
s070178077,u449732162,1341485381,Java,JAVA,java,Accepted,40,9392,200,1/1
s070320854,u158979022,1528686828,Java,JAVA,java,Accepted,40,23884,185,1/1
s071768500,u273917701,1336399667,Java,JAVA,java,Accepted,40,8924,176,1/1
s072035741,u651825509,1266215763,Java,JAVA,java,Accepted,40,9264,107,
s072036078,u963561021,1507631551,Java,JAVA,java,Accepted,40,24340,175,1/1
s072143411,u068688730,1458291559,Java,JAVA,java,Runtime Error,0,0,189,0/1
s072429046,u676811480,1469292384,Java,JAVA,java,Runtime Error,0,0,157,0/1
s072957708,u313117499,1451532974,Java,JAVA,java,Compile Error,1180,0,164,0/1
s073168792,u521215826,1368039994,Java,JAVA,java,Compile Error,30,0,179,0/1
s073339128,u833052802,1458877456,Java,JAVA,java,Runtime Error,0,0,217,0/1
s074532702,u311843791,1472608623,Java,JAVA,java,Runtime Error,0,0,184,0/1
s075397390,u811773570,1489643982,Java,JAVA,java,Accepted,40,24148,227,1/1
s076114261,u066571171,1473865639,Java,JAVA,java,Compile Error,50,0,199,0/1
s076893295,u901080241,1488768099,Java,JAVA,java,Accepted,30,24084,173,1/1
s077459315,u384557967,1335422674,Java,JAVA,java,Accepted,50,9364,182,1/1
s078391605,u976937698,1458218856,Java,JAVA,java,Wrong Answer,40,24076,118,0/1
s078793743,u290619121,1429610835,Java,JAVA,java,Accepted,40,16852,180,1/1
s079436295,u884291095,1536749511,Java,JAVA,java,Accepted,40,24712,193,1/1
s079850839,u630718233,1477187966,Java,JAVA,java,Wrong Answer,40,23988,230,0/1
s080795834,u383876854,1404267818,Java,JAVA,java,Accepted,50,18068,232,1/1
s081969223,u170668497,1486955712,Java,JAVA,java,Accepted,60,24152,304,1/1
s084248027,u759949288,1281339209,Java,JAVA,java,Runtime Error,-10,9264,224,
s084294833,u389172382,1308755035,Java,JAVA,java,Accepted,40,0,174,
s084338953,u096769764,1384821253,Java,JAVA,java,Compile Error,880,0,177,0/1
s084464371,u793590364,1505967187,Java,JAVA,java,Compile Error,50,0,283,0/1
s084551415,u052250542,1503472474,Java,JAVA,java,Wrong Answer,30,24156,235,0/1
s084923773,u053179851,1505280410,Java,JAVA,java,Accepted,40,24084,294,1/1
s086500073,u551959902,1475737786,Java,JAVA,java,Compile Error,0,0,277,0/1
s086647781,u504990413,1356459639,Java,JAVA,java,Accepted,40,9340,268,1/1
s087357568,u129532107,1495967136,Java,JAVA,java,Accepted,30,24060,237,1/1
s087700003,u251290153,1434364595,Java,JAVA,java,Compile Error,0,0,356,0/1
s089748350,u509142929,1338527741,Java,JAVA,java,Accepted,40,9340,209,1/1
s090212141,u271426617,1401890526,Java,JAVA,java,Compile Error,10,0,189,0/1
s090396887,u108432367,1318343639,Java,JAVA,java,Compile Error,2790,0,224,
s091486105,u193103338,1487513219,Java,JAVA,java,Compile Error,60,0,225,0/1
s091655221,u011621222,1404267008,Java,JAVA,java,Compile Error,60,0,671,0/1
s091691554,u343249615,1400069322,Java,JAVA,java,Accepted,40,16852,239,1/1
s092886691,u683594703,1420991976,Java,JAVA,java,Accepted,40,16852,199,1/1
s093208201,u407745347,1561014184,Java,JAVA,java,Accepted,30,24416,237,1/1
s093363169,u503747231,1431414396,Java,JAVA,java,Wrong Answer,40,16840,261,0/1
s093562660,u220242928,1471413419,Java,JAVA,java,Accepted,40,24212,221,1/1
s093580290,u170668497,1486954840,Java,JAVA,java,Accepted,40,24456,253,1/1
s094016805,u077582668,1367324697,Java,JAVA,java,Wrong Answer,40,16920,176,0/1
s094231868,u816677853,1440662599,Java,JAVA,java,Accepted,40,16856,184,1/1
s094843542,u528773839,1428844157,Java,JAVA,java,Runtime Error,0,0,201,0/1
s095581857,u503947213,1498143593,Java,JAVA,java,Wrong Answer,30,23848,182,0/1
s095720280,u121854662,1462887837,Java,JAVA,java,Runtime Error,0,0,378,0/1
s095873335,u695351069,1467611641,Java,JAVA,java,Accepted,40,24052,195,1/1
s095956369,u535868465,1492059401,Java,JAVA,java,Accepted,50,24724,191,1/1
s096281262,u129314411,1547710512,Java,JAVA,java,Accepted,30,24168,224,1/1
s097357541,u965058513,1532480548,Java,JAVA,java,Accepted,50,25572,363,1/1
s097433160,u236679854,1480369388,Java,JAVA,java,Wrong Answer,40,23808,241,0/1
s097880843,u252368621,1474422972,Java,JAVA,java,Accepted,30,24120,219,1/1
s098559940,u551456712,1492183554,Java,JAVA,java,Compile Error,0,0,270,0/1
s098603038,u364608639,1353570313,Java,JAVA,java,Accepted,40,9348,159,1/1
s098781108,u885417274,1395704660,Java,JAVA,java,Accepted,40,16856,218,1/1
s100838710,u228174383,1487236128,Java,JAVA,java,Accepted,30,24296,203,1/1
s101070989,u161732599,1458569830,Java,JAVA,java,Compile Error,10,0,279,0/1
s101419102,u131592835,1390791083,Java,JAVA,java,Accepted,40,16848,2634,1/1
s101873748,u895050252,1543552255,Java,JAVA,java,Accepted,30,24164,186,1/1
s101901995,u681787924,1370667052,Java,JAVA,java,Accepted,40,16852,239,1/1
s102082037,u695351069,1467611002,Java,JAVA,java,Compile Error,50,0,198,0/1
s102393777,u708217907,1408488463,Java,JAVA,java,Accepted,50,17964,280,1/1
s102477004,u709118050,1470891746,Java,JAVA,java,Wrong Answer,40,24204,165,0/1
s103959529,u330358082,1550254736,Java,JAVA,java,Accepted,30,24256,231,1/1
s104218020,u768052802,1498465554,Java,JAVA,java,Accepted,30,23940,244,1/1
s104506598,u196688773,1493641595,Java,JAVA,java,Accepted,30,24144,160,1/1
s104740192,u833052802,1458877196,Java,JAVA,java,Compile Error,810,0,222,0/1
s104954414,u814387366,1393068216,Java,JAVA,java,Wrong Answer,40,16860,186,0/1
s105170168,u942404782,1479281140,Java,JAVA,java,Compile Error,0,0,222,0/1
s106996125,u024715419,1336761607,Java,JAVA,java,Accepted,40,9076,218,1/1
s107165087,u155993893,1508653820,Java,JAVA,java,Accepted,70,24780,175,1/1
s107175200,u542408658,1533631648,Java,JAVA,java,Accepted,30,24436,210,1/1
s108030434,u622375508,1484674896,Java,JAVA,java,Compile Error,220,0,151,0/1
s110458485,u146879185,1410432005,Java,JAVA,java,Accepted,40,16852,168,1/1
s111187567,u576153335,1402269386,Java,JAVA,java,Accepted,40,16852,182,1/1
s111384242,u879411555,1591345665,Java,JAVA,java,Accepted,50,24052,197,1/1
s111565203,u384557967,1270711784,Java,JAVA,java,Accepted,40,9336,144,
s111729863,u506607599,1353020720,Java,JAVA,java,Accepted,40,9256,173,1/1
s112038728,u350267396,1467257423,Java,JAVA,java,Compile Error,310,0,178,0/1
s112169493,u079104535,1325664073,Java,JAVA,java,Compile Error,50,0,242,
s112508684,u383876854,1404268535,Java,JAVA,java,Compile Error,40,0,239,0/1
s112532004,u785549935,1485863786,Java,JAVA,java,Compile Error,100,0,248,0/1
s113261548,u343249615,1389072670,Java,JAVA,java,WA: Presentation Error,40,16856,228,0/1
s113422222,u969530080,1507979939,Java,JAVA,java,Accepted,40,24108,205,1/1
s115604131,u248155947,1521620392,Java,JAVA,java,Compile Error,0,0,151,0/1
s115720575,u011621222,1351094915,Java,JAVA,java,Accepted,40,9312,171,1/1
s116748173,u782400744,1498807270,Java,JAVA,java,Accepted,30,24080,194,1/1
s117543200,u225206951,1414744239,Java,JAVA,java,Compile Error,130,0,194,0/1
s118296947,u383876854,1404268431,Java,JAVA,java,Accepted,50,17980,252,1/1
s118323784,u793590364,1505967169,Java,JAVA,java,Compile Error,50,0,188,0/1
s118946640,u487029611,1481085938,Java,JAVA,java,Accepted,40,24036,187,1/1
s118997385,u883062308,1379120533,Java,JAVA,java,Accepted,40,15012,191,1/1
s119258784,u203887348,1486975949,Java,JAVA,java,Runtime Error,0,0,228,0/1
s119333311,u831898136,1397341700,Java,JAVA,java,Accepted,50,17932,185,1/1
s119487958,u804294347,1366895082,Java,JAVA,java,Runtime Error,0,0,171,0/1
s119512985,u580216947,1289317611,Java,JAVA,java,Accepted,40,8988,206,
s119970035,u982618289,1448862856,Java,JAVA,java,WA: Presentation Error,60,24780,219,0/1
s120483548,u893328919,1586075740,Java,JAVA,java,Accepted,50,24056,241,1/1
s120705028,u542332000,1519027536,Java,JAVA,java,Accepted,50,24416,204,1/1
s120999725,u247308691,1475530590,Java,JAVA,java,Compile Error,260,0,204,0/1
s121089433,u248155947,1521620550,Java,JAVA,java,Accepted,30,23832,163,1/1
s121361985,u637673746,1467598028,Java,JAVA,java,Compile Error,40,0,324,0/1
s121616551,u609246174,1470358507,Java,JAVA,java,Accepted,40,24440,152,1/1
s121969959,u032780311,1476433407,Java,JAVA,java,Accepted,40,24376,374,1/1
s121982751,u259749965,1343787013,Java,JAVA,java,Accepted,40,9368,231,1/1
s122057478,u383876854,1404268256,Java,JAVA,java,Compile Error,0,0,251,0/1
s122140067,u462991726,1487653899,Java,JAVA,java,Accepted,50,24184,232,1/1
s122529235,u134770049,1389964639,Java,JAVA,java,Accepted,40,17904,199,1/1
s123619416,u236679854,1480369091,Java,JAVA,java,Wrong Answer,30,24024,194,0/1
s124114953,u765667086,1372101553,Java,JAVA,java,Accepted,40,16872,188,1/1
s125428163,u171562065,1347025683,Java,JAVA,java,Wrong Answer,40,9528,172,0/1
s126639169,u692394646,1484638236,Java,JAVA,java,Compile Error,30,0,196,0/1
s127194031,u782400744,1498806971,Java,JAVA,java,Wrong Answer,30,24164,185,0/1
s127277314,u409193666,1468670242,Java,JAVA,java,Accepted,50,24152,188,1/1
s127958150,u674779272,1370817806,Java,JAVA,java,Compile Error,0,0,178,0/1
s128421148,u195892755,1411967721,Java,JAVA,java,Accepted,40,16852,170,1/1
s128656175,u972901560,1440867171,Java,JAVA,java,Runtime Error,0,0,168,0/1
s128832216,u464358276,1507891900,Java,JAVA,java,Runtime Error,0,0,270,0/1
s128978287,u372785464,1351601339,Java,JAVA,java,Compile Error,80,0,257,0/1
s128997494,u791921413,1528644869,Java,JAVA,java,Accepted,60,26028,971,1/1
s130830539,u675844759,1389593187,Java,JAVA,java,Accepted,40,16856,206,1/1
s130886261,u141903539,1504675182,Java,JAVA,java,Compile Error,80,0,172,0/1
s131222668,u895568790,1431701384,Java,JAVA,java,Accepted,40,16848,190,1/1
s131378910,u134265565,1487560427,Java,JAVA,java,Wrong Answer,70,24808,222,0/1
s131648485,u675844759,1389594148,Java,JAVA,java,Runtime Error,0,0,134,0/1
s131677769,u768052802,1498464775,Java,JAVA,java,Compile Error,10,0,257,0/1
s131711760,u399118522,1334154947,Java,JAVA,java,Compile Error,130,0,209,0/1
s131852522,u843222791,1481306248,Java,JAVA,java,Accepted,30,24064,173,1/1
s131858993,u426589527,1267345380,Java,JAVA,java,Accepted,50,9352,126,
s132279687,u614197626,1496751737,Java,JAVA,java,Wrong Answer,30,24200,221,0/1
s132599328,u765849500,1462677303,Java,JAVA,java,Compile Error,0,0,144,0/1
s133009419,u069727578,1483420305,Java,JAVA,java,Accepted,60,24308,162,1/1
s133255632,u659896198,1468922581,Java,JAVA,java,Wrong Answer,40,24028,205,0/1
s133685119,u880853704,1510550080,Java,JAVA,java,Accepted,40,24156,205,1/1
s133800095,u273926656,1387712663,Java,JAVA,java,Accepted,40,16860,186,1/1
s134790558,u791921413,1517988888,Java,JAVA,java,Accepted,60,25996,242,1/1
s135183921,u313982414,1489099276,Java,JAVA,java,Accepted,50,24372,235,1/1
s136519219,u971509954,1341389660,Java,JAVA,java,Accepted,40,9360,187,1/1
s137664131,u764432488,1338959166,Java,JAVA,java,Accepted,40,9348,212,1/1
s137757956,u409020691,1493012048,Java,JAVA,java,Accepted,40,23844,200,1/1
s137875120,u243829983,1542210010,Java,JAVA,java,Accepted,40,24384,247,1/1
s138242695,u302511098,1456994377,Java,JAVA,java,Accepted,40,23920,185,1/1
s138444619,u872762217,1430296263,Java,JAVA,java,Compile Error,20,0,316,0/1
s139257959,u777338381,1490601912,Java,JAVA,java,Wrong Answer,60,24132,242,0/1
s139650265,u409193666,1468670228,Java,JAVA,java,Compile Error,40,0,238,0/1
s140137373,u011621222,1344075501,Java,JAVA,java,Accepted,90,12000,255,1/1
s140153422,u009679758,1457163784,Java,JAVA,java,Wrong Answer,30,24428,158,0/1
s140249693,u170668497,1486955045,Java,JAVA,java,Accepted,40,24176,316,1/1
s141298924,u067299340,1486957546,Java,JAVA,java,Accepted,50,24512,282,1/1
s141401185,u535868465,1492059305,Java,JAVA,java,Wrong Answer,40,24908,192,0/1
s142257610,u614197626,1496751868,Java,JAVA,java,Wrong Answer,30,24136,221,0/1
s142453891,u077844738,1492420603,Java,JAVA,java,Accepted,30,24096,223,1/1
s142908595,u048060093,1365729133,Java,JAVA,java,Accepted,40,17008,204,1/1
s142920678,u718658045,1501159773,Java,JAVA,java,Wrong Answer,30,24084,188,0/1
s143009839,u170030319,1434983667,Java,JAVA,java,Accepted,40,16872,312,1/1
s143191749,u764432488,1335525081,Java,JAVA,java,Accepted,50,9536,247,1/1
s144388191,u176666055,1471977971,Java,JAVA,java,Runtime Error,0,0,369,0/1
s144424189,u732073438,1502277564,Java,JAVA,java,Runtime Error,0,0,191,0/1
s144762405,u371199586,1500613862,Java,JAVA,java,Accepted,30,24268,227,1/1
s146374132,u384557967,1335422647,Java,JAVA,java,Wrong Answer,40,9400,183,0/1
s147911278,u816370254,1514721202,Java,JAVA,java,Accepted,40,23972,443,1/1
s148020574,u276203229,1430470391,Java,JAVA,java,Accepted,40,16852,169,1/1
s148737167,u226079266,1316963977,Java,JAVA,java,Accepted,40,9168,136,
s148825393,u390147264,1441804291,Java,JAVA,java,Accepted,40,16852,171,1/1
s149279128,u856188308,1440081646,Java,JAVA,java,Accepted,40,16852,212,1/1
s149288887,u172902549,1378773520,Java,JAVA,java,Accepted,30,16844,164,1/1
